"TimeStamp,GazePointXLeft,GazePointYLeft,ValidityLeft,GazePointXRight,GazePointYRight,ValidityRight,GazePointX,GazePointY,PupilSizeLeft,PupilValidityLeft,PupilSizeRight,PupilValidityRight,PupilSize,Trigger,Subject_ID,Calibration_status"
"1968.2,,,0,,,0,,,,0,,0,,3001,0,0"
"1984.9,,,0,,,0,,,,0,,0,,3001,0,0"
"2001.5,,,0,,,0,,,,0,,0,,3001,0,0"
"2018.2,,,0,,,0,,,,0,,0,,3001,0,0"
"2034.8,,,0,,,0,,,,0,,0,,3001,0,0"
"2051.5,,,0,,,0,,,,0,,0,,3001,0,0"
"2068.1,,,0,,,0,,,,0,,0,,3001,0,0"
"2084.8,,,0,,,0,,,,0,,0,,3001,0,0"
"2101.4,,,0,,,0,,,,0,,0,,3001,0,0"
"2118.1,,,0,,,0,,,,0,,0,,3001,0,0"
"2134.7,,,0,,,0,,,,0,,0,,3001,0,0"
"2151.4,,,0,,,0,,,,0,,0,,3001,0,0"
"2168.0,,,0,,,0,,,,0,,0,,3001,0,0"
"2184.7,,,0,,,0,,,,0,,0,,3001,0,0"
"2201.4,,,0,,,0,,,,0,,0,,3001,0,0"
"2218.0,,,0,,,0,,,,0,,0,,3001,0,0"
"2234.7,,,0,,,0,,,,0,,0,,3001,0,0"
"2251.3,,,0,,,0,,,,0,,0,,3001,0,0"
"2268.0,,,0,,,0,,,,0,,0,,3001,0,0"
"2284.6,,,0,,,0,,,,0,,0,,3001,0,0"
"2301.3,,,0,,,0,,,,0,,0,,3001,0,0"
"2317.9,,,0,,,0,,,,0,,0,,3001,0,0"
"2334.6,,,0,,,0,,,,0,,0,,3001,0,0"
"2351.2,,,0,,,0,,,,0,,0,,3001,0,0"
"2367.9,,,0,,,0,,,,0,,0,,3001,0,0"
"2384.5,,,0,,,0,,,,0,,0,,3001,0,0"
"2401.2,,,0,,,0,,,,0,,0,,3001,0,0"
"2417.9,,,0,,,0,,,,0,,0,,3001,0,0"
"2434.5,,,0,,,0,,,,0,,0,,3001,0,0"
"2451.2,,,0,,,0,,,,0,,0,,3001,0,0"
"2467.8,,,0,,,0,,,,0,,0,,3001,0,0"
"2484.5,,,0,,,0,,,,0,,0,,3001,0,0"
"2501.1,,,0,,,0,,,,0,,0,,3001,0,0"
"2517.8,,,0,,,0,,,,0,,0,,3001,0,0"
"2534.4,,,0,,,0,,,,0,,0,,3001,0,0"
"2551.1,,,0,,,0,,,,0,,0,,3001,0,0"
"2567.7,,,0,,,0,,,,0,,0,,3001,0,0"
"2584.4,,,0,,,0,,,,0,,0,,3001,0,0"
"2601.0,,,0,,,0,,,,0,,0,,3001,0,0"
"2617.7,,,0,,,0,,,,0,,0,,3001,0,0"
"2634.3,,,0,,,0,,,,0,,0,,3001,0,0"
"2651.0,,,0,,,0,,,,0,,0,,3001,0,0"
"2667.7,,,0,,,0,,,,0,,0,,3001,0,0"
"2684.3,,,0,,,0,,,,0,,0,,3001,0,0"
"2701.0,,,0,,,0,,,,0,,0,,3001,0,0"
"2717.6,,,0,,,0,,,,0,,0,,3001,0,0"
"2734.3,,,0,,,0,,,,0,,0,,3001,0,0"
"2750.9,,,0,,,0,,,,0,,0,,3001,0,0"
"2767.6,,,0,,,0,,,,0,,0,,3001,0,0"
"2784.2,,,0,,,0,,,,0,,0,,3001,0,0"
"2800.9,,,0,,,0,,,,0,,0,,3001,0,0"
"2817.5,,,0,,,0,,,,0,,0,,3001,0,0"
"2834.2,,,0,,,0,,,,0,,0,,3001,0,0"
"2850.8,,,0,,,0,,,,0,,0,,3001,0,0"
"2867.5,,,0,,,0,,,,0,,0,,3001,0,0"
"2884.2,,,0,,,0,,,,0,,0,,3001,0,0"
"2900.8,,,0,,,0,,,,0,,0,,3001,0,0"
"2917.5,,,0,,,0,,,,0,,0,,3001,0,0"
"2934.1,,,0,,,0,,,,0,,0,,3001,0,0"
"2950.8,,,0,,,0,,,,0,,0,,3001,0,0"
"2967.4,,,0,,,0,,,,0,,0,,3001,0,0"
"2984.1,,,0,,,0,,,,0,,0,,3001,0,0"
"3000.7,,,0,,,0,,,,0,,0,,3001,0,0"
"3017.4,,,0,,,0,,,,0,,0,,3001,0,0"
"3034.1,,,0,,,0,,,,0,,0,,3001,0,0"
"3050.7,,,0,,,0,,,,0,,0,,3001,0,0"
"3067.4,,,0,,,0,,,,0,,0,,3001,0,0"
"3084.0,,,0,,,0,,,,0,,0,,3001,0,0"
"3100.7,,,0,,,0,,,,0,,0,,3001,0,0"
"3117.3,,,0,,,0,,,,0,,0,,3001,0,0"
"3134.0,,,0,,,0,,,,0,,0,,3001,0,0"
"3150.6,,,0,,,0,,,,0,,0,,3001,0,0"
"3167.3,,,0,,,0,,,,0,,0,,3001,0,0"
"3183.9,,,0,,,0,,,,0,,0,,3001,0,0"
"3200.6,,,0,,,0,,,,0,,0,,3001,0,0"
"3217.3,,,0,,,0,,,,0,,0,,3001,0,0"
"3233.9,,,0,,,0,,,,0,,0,,3001,0,0"
"3250.6,,,0,,,0,,,,0,,0,,3001,0,0"
"3267.2,,,0,,,0,,,,0,,0,,3001,0,0"
"3283.9,,,0,,,0,,,,0,,0,,3001,0,0"
"3300.5,,,0,,,0,,,,0,,0,,3001,0,0"
"3317.2,,,0,,,0,,,,0,,0,,3001,0,0"
"3333.8,,,0,,,0,,,,0,,0,,3001,0,0"
"3350.5,,,0,,,0,,,,0,,0,,3001,0,0"
"3367.1,,,0,,,0,,,,0,,0,,3001,0,0"
"3383.8,,,0,,,0,,,,0,,0,,3001,0,0"
"3400.5,,,0,,,0,,,,0,,0,,3001,0,0"
"3417.1,,,0,,,0,,,,0,,0,,3001,0,0"
"3433.8,,,0,,,0,,,,0,,0,,3001,0,0"
"3450.4,,,0,,,0,,,,0,,0,,3001,0,0"
"3467.1,,,0,,,0,,,,0,,0,,3001,0,0"
"3483.7,,,0,,,0,,,,0,,0,,3001,0,0"
"3500.4,,,0,,,0,,,,0,,0,,3001,0,0"
"3517.0,,,0,,,0,,,,0,,0,,3001,0,0"
"3533.7,,,0,,,0,,,,0,,0,,3001,0,0"
"3550.3,,,0,,,0,,,,0,,0,,3001,0,0"
"3567.0,,,0,,,0,,,,0,,0,,3001,0,0"
"3583.7,,,0,,,0,,,,0,,0,,3001,0,0"
"3600.3,,,0,,,0,,,,0,,0,,3001,0,0"
"3617.0,,,0,,,0,,,,0,,0,,3001,0,0"
"3633.6,,,0,,,0,,,,0,,0,,3001,0,0"
"3650.3,,,0,,,0,,,,0,,0,,3001,0,0"
"3666.9,,,0,,,0,,,,0,,0,,3001,0,0"
"3683.6,,,0,,,0,,,,0,,0,,3001,0,0"
"3700.2,,,0,,,0,,,,0,,0,,3001,0,0"
"3716.9,,,0,,,0,,,,0,,0,,3001,0,0"
"3733.6,,,0,,,0,,,,0,,0,,3001,0,0"
"3750.2,,,0,,,0,,,,0,,0,,3001,0,0"
"3766.9,,,0,,,0,,,,0,,0,,3001,0,0"
"3783.5,,,0,,,0,,,,0,,0,,3001,0,0"
"3800.2,,,0,,,0,,,,0,,0,,3001,0,0"
"3816.8,,,0,,,0,,,,0,,0,,3001,0,0"
"3833.5,,,0,,,0,,,,0,,0,,3001,0,0"
"3850.1,,,0,,,0,,,,0,,0,,3001,0,0"
"3866.8,,,0,,,0,,,,0,,0,,3001,0,0"
"3883.4,,,0,,,0,,,,0,,0,,3001,0,0"
"3900.1,,,0,,,0,,,,0,,0,,3001,0,0"
"3916.8,,,0,,,0,,,,0,,0,,3001,0,0"
"3933.4,,,0,,,0,,,,0,,0,,3001,0,0"
"3950.1,,,0,,,0,,,,0,,0,,3001,0,0"
"3966.7,,,0,,,0,,,,0,,0,,3001,0,0"
"3983.4,,,0,,,0,,,,0,,0,,3001,0,0"
"4000.0,,,0,,,0,,,,0,,0,,3001,0,0"
"4016.7,,,0,,,0,,,,0,,0,,3001,0,0"
"4033.3,,,0,,,0,,,,0,,0,,3001,0,0"
"4050.0,,,0,,,0,,,,0,,0,,3001,0,0"
"4066.6,,,0,,,0,,,,0,,0,,3001,0,0"
"4083.3,,,0,,,0,,,,0,,0,,3001,0,0"
"4100.0,,,0,,,0,,,,0,,0,,3001,0,0"
"4116.6,,,0,,,0,,,,0,,0,,3001,0,0"
"4133.3,,,0,,,0,,,,0,,0,,3001,0,0"
"4149.9,,,0,,,0,,,,0,,0,,3001,0,0"
"4166.6,,,0,,,0,,,,0,,0,,3001,0,0"
"4183.2,,,0,,,0,,,,0,,0,,3001,0,0"
"4199.9,,,0,,,0,,,,0,,0,,3001,0,0"
"4216.5,,,0,,,0,,,,0,,0,,3001,0,0"
"4233.2,,,0,,,0,,,,0,,0,,3001,0,0"
"4249.8,,,0,,,0,,,,0,,0,,3001,0,0"
"4266.5,,,0,,,0,,,,0,,0,,3001,0,0"
"4283.2,,,0,,,0,,,,0,,0,,3001,0,0"
"4299.8,,,0,,,0,,,,0,,0,,3001,0,0"
"4316.5,,,0,,,0,,,,0,,0,,3001,0,0"
"4333.1,,,0,,,0,,,,0,,0,,3001,0,0"
"4349.8,,,0,,,0,,,,0,,0,,3001,0,0"
"4366.4,,,0,,,0,,,,0,,0,,3001,0,0"
"4383.1,,,0,,,0,,,,0,,0,,3001,0,0"
"4399.7,,,0,,,0,,,,0,,0,,3001,0,0"
"4416.4,,,0,,,0,,,,0,,0,,3001,0,0"
"4433.1,,,0,,,0,,,,0,,0,,3001,0,0"
"4449.7,,,0,,,0,,,,0,,0,,3001,0,0"
"4466.4,,,0,,,0,,,,0,,0,,3001,0,0"
"4483.0,,,0,,,0,,,,0,,0,,3001,0,0"
"4499.7,,,0,,,0,,,,0,,0,,3001,0,0"
"4516.3,,,0,,,0,,,,0,,0,,3001,0,0"
"4533.0,,,0,,,0,,,,0,,0,,3001,0,0"
"4549.6,,,0,,,0,,,,0,,0,,3001,0,0"
"4566.3,,,0,,,0,,,,0,,0,,3001,0,0"
"4582.9,,,0,,,0,,,,0,,0,,3001,0,0"
"4599.6,,,0,,,0,,,,0,,0,,3001,0,0"
"4616.3,,,0,,,0,,,,0,,0,,3001,0,0"
"4632.9,,,0,,,0,,,,0,,0,,3001,0,0"
"4649.6,,,0,,,0,,,,0,,0,,3001,0,0"
"4666.2,,,0,,,0,,,,0,,0,,3001,0,0"
"4682.9,,,0,,,0,,,,0,,0,,3001,0,0"
"4699.5,,,0,,,0,,,,0,,0,,3001,0,0"
"4716.2,,,0,,,0,,,,0,,0,,3001,0,0"
"4732.8,,,0,,,0,,,,0,,0,,3001,0,0"
"4749.5,,,0,,,0,,,,0,,0,,3001,0,0"
"4780.5,,,0,,,0,,,,0,,0,,3001,0,0"
"4797.2,,,0,,,0,,,,0,,0,,3001,0,0"
"4813.8,,,0,,,0,,,,0,,0,,3001,0,0"
"4830.5,,,0,,,0,,,,0,,0,,3001,0,0"
"4847.1,,,0,,,0,,,,0,,0,,3001,0,0"
"4863.8,,,0,,,0,,,,0,,0,,3001,0,0"
